country,mu
Afghanistan,37.478833333333334
Albania,68.43291666666667
Algeria,59.030166666666666
Angola,37.8835
Argentina,69.06041666666667
Australia,74.66291666666666
Austria,73.10325
Bahrain,65.60566666666666
Bangladesh,49.83408333333333
Belgium,73.64175
Benin,48.779916666666665
Bolivia,52.504583333333336
Bosnia and Herzegovina,67.70783333333334
Botswana,54.597500000000004
Brazil,62.2395
Bulgaria,69.74375
Burkina Faso,44.694
Burundi,44.81733333333333
Cambodia,47.90275
Cameroon,48.1285
Canada,74.90275
Central African Republic,43.86691666666667
Chad,46.773583333333335
Chile,67.43091666666666
China,61.78514
Colombia,63.89775
Comoros,52.38175
"Congo, Dem. Rep.",44.54375
"Congo, Rep.",52.501916666666666
Costa Rica,70.18141666666666
Cote d'Ivoire,48.436166666666665
Croatia,70.05591666666666
Cuba,71.04508333333334
Czech Republic,71.51050000000001
Denmark,74.37016666666666
Djibouti,46.38075
Dominican Republic,61.5545
Ecuador,62.816833333333335
Egypt,56.243
El Salvador,59.63333333333333
Equatorial Guinea,42.96
Eritrea,45.99925
Ethiopia,44.47575
Finland,72.99191666666667
France,74.34891666666667
Gabon,51.2205
Gambia,44.40058333333333
Germany,73.44441666666667
Ghana,52.340666666666664
Greece,73.73316666666666
Guatemala,56.729416666666665
Guinea,43.23983333333334
Guinea-Bissau,39.21025
Haiti,50.16525
Honduras,57.920833333333334
"Hong Kong, China",73.49283333333334
Hungary,69.39316666666667
Iceland,76.51141666666666
India,53.16608333333333
Indonesia,54.33575
Iran,58.636583333333334
Iraq,56.58175
Ireland,73.01725
Israel,73.64583333333333
Italy,74.01383333333334
Jamaica,68.74933333333334
Japan,74.82691666666666
Jordan,59.78641666666667
Kenya,52.681
"Korea, Dem. Rep.",63.60733333333334
"Korea, Rep.",65.001
Kuwait,68.92233333333333
Lebanon,65.86566666666667
Lesotho,50.007083333333334
Liberia,42.47625
Libya,59.30416666666667
Madagascar,47.770583333333335
Malawi,43.35158333333333
Malaysia,64.27958333333333
Mali,43.4135
Mauritania,52.302083333333336
Mauritius,64.95325
Mexico,65.40883333333333
Mongolia,55.89033333333333
Montenegro,70.29916666666666
Morocco,57.60883333333333
Mozambique,40.3795
Myanmar,53.321666666666665
Namibia,53.49133333333333
Nepal,48.986333333333334
Netherlands,75.6485
New Zealand,73.98949999999999
Nicaragua,58.34941666666667
Niger,44.55866666666667
Nigeria,43.58133333333333
Norway,75.843
Oman,58.44266666666667
Pakistan,54.88225
Panama,67.80175
Paraguay,66.80908333333333
Peru,58.85933333333333
Philippines,60.96725
Poland,70.17691666666667
Portugal,70.41983333333333
Puerto Rico,72.73933333333333
Reunion,66.64425
Romania,68.29066666666667
Rwanda,41.48158333333333
Sao Tome and Principe,57.89633333333333
Saudi Arabia,58.67875
Senegal,50.62591666666667
Serbia,68.551
Sierra Leone,36.76916666666666
Singapore,71.22025
Slovak Republic,70.69608333333333
Slovenia,71.60075
Somalia,40.98866666666667
South Africa,53.99316666666667
Spain,74.20341666666667
Sri Lanka,66.52608333333333
Sudan,48.4005
Swaziland,49.00241666666667
Sweden,76.17699999999999
Switzerland,75.56508333333333
Syria,61.34616666666667
Taiwan,70.33666666666667
Tanzania,47.912333333333336
Thailand,62.20025
Togo,51.49875
Trinidad and Tobago,66.828
Tunisia,60.721000000000004
Turkey,59.696416666666664
Uganda,47.618833333333335
United Kingdom,73.92258333333334
United States,73.4785
Uruguay,70.78158333333333
Venezuela,66.58066666666667
Vietnam,57.4795
West Bank and Gaza,60.32866666666667
"Yemen, Rep.",46.78041666666667
Zambia,45.99633333333333
Zimbabwe,52.66316666666667
